DIRECTOR,COMPANY, PERCENTAGE OF SHARES
ARSHAD UDA,KHAZANAH,
ARTHUR LI KWOK CHEUNG,AFFIN HOLDINGS BHD,
ASHER NOOR,AIR ASIA X BHD,
ASHOK RAMAMURTHY,AMMB HOLDINGS BHD,0.01
ASMAT KAMALUDIN,AIR ASIA X BHD,0.42
ASMAT KAMALUDIN,UMW HOLDINGS BHD,
ASMAT KAMALUDIN,UMW OIL AND GAS CORPORATION BHD,
ASMAT KAMALUDIN,PNB,
AUDREY LIM SUAN IMM,AEON COMPANY M BHD,
AUGUSTUS RALPH MARSHALL,ASTRO M HOLDINGS BHD,
AUGUSTUS RALPH MARSHALL,KLCCP HOLDINGS BHD,0.003
AUGUSTUS RALPH MARSHALL,MAXIS BHD,0.01
AW HONG BOO,MALAYSIA BUILDING SOCIETY BHD,
AZLAN HASHIM,AMMB HOLDINGS BHD,0.01
AZLAN HASHIM,IHH HEALTHCARE BHD,
AZLAN HASHIM,KHAZANAH,
AZLAN MEAH AHMED MEAH,BERJAYA CORPORATION BHD,
AZLAN MOHD ZAINOL,KUALA LUMPUR KEPONG BHD,
AZLAN MOHD ZAINOL,RHB CAPITAL BHD,
AZLAN SHAH JAFFRIL,DAYANG ENTERPRISE HOLDINGS BHD,
AZMAN HASHIM,AMMB HOLDINGS BHD,
AZMAN MOHD TASEC NOMINEES TEMPATAN SDN BHD,TENAGA NASIONAL BHD,
AZMAN MOKHTAR,AXIATA GROUP BHD,
AZMAN MOKHTAR,KHAZANAH,
AZMI MAT NOR,GAMUDA BHD,0.02
AZMI MOHD ALI,SIME DARBY BHD,
AZMIL ZAHRUDDIN RAJA ABDUL AZIZ,IHH HEALTHCARE BHD,
AZZAT KAMALUDIN,AXIATA GROUP BHD,
AZZAT KAMALUDIN,BOUSTEAD HOLDINGS BHD,0.004
AZZAT KAMALUDIN,KPJ HEALTHCARE BHD,0.02
BADLISHAH ANNUAR,AEON COMPANY M BHD,
BASHIR AHMAD ABDUL MAJID,MALAYSIA AIRPORTS HOLDINGS BHD,
BAZLAN OSMAN,TELEKOM M BHD,
BELLA ANN ALMEIDA,AXIATA GROUP BHD,
BENDAHARA PERLIS SYED BADARUDIN ,FRASER AND NEAVE HOLDINGS BHD,0.565
BERNARD ANTHONY CRAGG,ASTRO M HOLDINGS BHD,
BERNARD RENE FRANCOIS DI TULLIO,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
BOEY TAK KONG,DUTCH LADY MILK INDUSTRIES BHD,
BRADLEY MULRONEY,LAFARGE M BHD,
CARL BEK NIELSEN,UNITED PLANTATIONS BHD,1.05
CHAN CHEE BENG,BUMI ARMADA BHD,0.03
CHAN CHEE BENG,MAXIS BHD,0.01
CHAN CHOON NGAI,BRITISH AMERICAN TOBACCO M BHD,
CHAN CHU WEI,WESTPORTS M SDN BHD,0.03
CHAN KIEN SING,BERJAYA CORPORATION BHD,0.001
CHAN KIEN SING,BERJAYA SPORTS TOTO BHD,0.0002
CHAN KONG WAH,GAMUDA BHD,0.02
CHAN LUI MING IVAN,KECK SENG M BHD,0.03
CHAN YEW KAI,DIALOG GROUP BHD,0.34
CHANG SEE HIANG,IHH HEALTHCARE BHD,0.001
CHARLES TSENG CHIA CHUN,AEON COMPANY M BHD,
CHAY WAI LEONG,BURSA MALAYSIA,
CHE KHALIB MOHAMAD NOH,GAS MALAYSIA BHD,
CHE KHALIB MOHAMAD NOH,MMC CORPORATION BHD,
CHE LODIN WOK KAMARUDDIN,AFFIN HOLDINGS BHD,
CHE LODIN WOK KAMARUDDIN,BOUSTEAD HOLDINGS BHD,2.73
CHE LODIN WOK KAMARUDDIN,LTAT,
CHEAH JUW TECK,QL RESOURCES BHD,0.17
CHEAH TEIK SENG,MAYBANK BANKING BHD,
CHEAH TEIK SENG,KWAP,
CHEAH TEK KUANG,BERJAYA SPORTS TOTO BHD,
CHEAH TEK KUANG,IOI CORPORATION BHD,
CHEAH TEK KUANG,UMW OIL AND GAS CORPORATION BHD,
CHEN THENG AIK,LAFARGE M BHD,
CHENG SIN YENG,PARKSON HOLDINGS BHD,
CHEW CHIN KIN,SUNWAY BHD,0.19
CHEW ENG KAR,DIALOG GROUP BHD,0.12
CHEW SIEW YENG,TSH RESOURCES BHD,
CHIA CHU FATT,DAYANG ENTERPRISE HOLDINGS BHD,0.02
CHIA MAK HOOI,QL RESOURCES BHD,0.06
CHIA SEONG FATT,QL RESOURCES BHD,0.04
CHIA SEONG POW,QL RESOURCES BHD,0.23
CHIA SONG KOOI,QL RESOURCES BHD,0.07
CHIA SONG KUN,QL RESOURCES BHD,0.05
CHIA SONG SWA,QL RESOURCES BHD,0.05
CHIENG ING HUONG EDDY,QL RESOURCES BHD,
CHIN KWAI YOONG,ASTRO M HOLDINGS BHD,
CHIN KWAI YOONG,FRASER AND NEAVE HOLDINGS BHD,
CHIN KWAI YOONG,GENTING BHD,
CHING YEW CHYE,GENTING PLANTATIONS BHD,
CHING YEW CHYE,PETRONAS CHEMICALS GROUP BHD,
CHOO CHUO SIONG,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
CHOO TAY SIAN KENNETH,GUINNESS ANCHOR BHD,
CHOONG YEE HOW,HONG LEONG BANK BHD,
CHOONG YEE HOW,HONG LEONG CAPITAL BHD,
CHOONG YEE HOW,HONG LEONG FINANCIAL GROUP BHD,
CHOW CHEE WAH,GAMUDA BHD,0.02
CHOY KHAI CHOON,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
CHRISTIAN HERRAULT,LAFARGE M BHD,
CHRISTINE LEE OI KUAN,WESTPORTS M SDN BHD,
CHRISTOPHER JOHN WARMOTH,CARLSBERG BREWERY M BHD,
CHUA KOK CHING,MALAYSIA AIRPORTS HOLDINGS BHD,
CHUA SENG YONG,IGB CORPORATION BHD,0.06
CHUAH PHAIK SIM,HARTALEGA HOLDINGS BHD,
CHUNG HON CHEONG,TENAGA NASIONAL BHD,
CINDY TAN KEWI YONG,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
CLIFFORD FRANCIS HERBERT,AMMB HOLDINGS BHD,
CLIFFORD FRANCIS HERBERT,GENTING M BHD,
DANAPALAN T P VINGGRASALAM,TELEKOM M BHD,
DANARAJ NADARAJAH,HARTALEGA HOLDINGS BHD,
DANIEL YONG CHEN I,IGB CORPORATION BHD,
DANIEL YONG CHEN I,IGB REAL ESTATE INVESTMENT TRUST,0.02
DATU ABANG HALMI IKHWAN,BINTULUPORT HOLDINGS BHD,
DAVID CHARLES IAN HARDING ,MAGNUM BHD,0.264
DAVID FREDERICK WILSON,IJM CORPORATION BHD,0.003
DAVID GIACOMO BENELLO,TELEKOM M BHD,
DAVID LAU NAI PEK,AXIATA GROUP BHD,
