DIRECTOR,COMPANY, PERCENTAGE OF SHARES
LEE OI HIAN,KUALA LUMPUR KEPONG BHD,
LEE SHIN CHENG,IOI CORPORATION BHD,0.98
LEE SIEW TEE,AEON COMPANY M BHD,
LEE TECK YUEN,IJM CORPORATION BHD,0.1
LEE TECK YUEN,IJM LAND BHD,0.763
LEE TUCK FOOK,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
LEE WEE YONG,HAP SENG CONSOLIDATED BHD,
LEE YEOW CHOR,IOI CORPORATION BHD,0.13
LEE YEOW SENG,IOI CORPORATION BHD,0.01
LEO MOGGIE,TENAGA NASIONAL BHD,
LEONG CHIK WENG,UMW HOLDINGS BHD,
LEONG CHIK WENG,UMW OIL AND GAS CORPORATION BHD,
LEONG HOY KUM,MAH SING GROUP BHD,
LEONG KHEE SEONG,TSH RESOURCES BHD,
LEONG WY JOON,BERJAYA LAND BHD,
LEONG YUET MEI,MAH SING GROUP BHD,
LEUNG KOK KEONG,KULIM M BHD,
LIEW BEN POH,HARTALEGA HOLDINGS BHD,
LIEW KEE SIN,SP SETIA BHD GROUP,2.76
LIM BENG CHEE,CAPITALAND MALAYSIA MALL TRUST ,20
LIM BENG CHOON,HONG LEONG BANK BHD,
LIM BENG CHOON,MISC BHD,
LIM BENG CHOON,PETRONAS DAGANGAN BHD,
LIM BENG CHOON,PETRONAS GAS BHD,
LIM CHEONG GUAN,TOP GLOVE CORPORATION BHD,
LIM FOOK HIN,TSH RESOURCES BHD,0.12
LIM GHEE KEONG,ASTRO M HOLDINGS BHD,
LIM GHEE KEONG,BUMI ARMADA BHD,0.03
LIM HAN BOON,TOP GLOVE CORPORATION BHD,
LIM HAW KUANG,SIME DARBY BHD,
LIM HOOI SIN,TOP GLOVE CORPORATION BHD,1.6
LIM HUN SOON,IJM LAND BHD,
LIM HWA YU,POS MALAYSIA BHD,
LIM KEONG HUI,GENTING BHD,
LIM KEONG HUI,GENTING PLANTATIONS BHD,
LIM KIAN ONN,AIR ASIA X BHD,4.46
LIM KIU HOCK,MAH SING GROUP BHD,0.042
LIM KOK THAY,GENTING BHD,0.4355
LIM KOK THAY,GENTING M BHD,0.0448
LIM KOK THAY,GENTING PLANTATIONS BHD,0.0485
LIM KUANG SIA,KOSSAN RUBBER INDUSTRIES BHD,0.12
LIM KUANG WANG,KOSSAN RUBBER INDUSTRIES BHD,
LIM KUANG YONG,KOSSAN RUBBER INDUSTRIES BHD,
LIM KWA HWA,KOSSAN RUBBER INDUSTRIES BHD,
LIM LEAN SEE,HONG LEONG BANK BHD,
LIM LEAN SEE,HONG LEONG FINANCIAL GROUP BHD,
LIM LENG BUNG,KOSSAN RUBBER INDUSTRIES BHD,
LIM OOI CHOW,KOSSAN RUBBER INDUSTRIES BHD,
LIM SAY CHONG,CARLSBERG BREWERY M BHD,
LIM SIAU HING,KOSSAN RUBBER INDUSTRIES BHD,
LIM SIAU TIAN,KOSSAN RUBBER INDUSTRIES BHD,
LIM SOON HUAT,PPB GROUP BHD,
LIM SU TONG,ORIENTAL HOLDINGS BHD,0.48
LIM SWE GUAN,SUNWAY BHD,
LIM TAU KIEN,HONG LEONG FINANCIAL GROUP BHD,
LIM THEAN SHIANG,MSM MALAYSIA HOLDINGS BHD,
LIM TIAN HUAT,MALAYSIA BUILDING SOCIETY BHD,
LIM TIAN HUAT,UEM SUNRISE BHD,
LIM TUANG OOI,IOI CORPORATION BHD,
LIM WEE CHAI,TOP GLOVE CORPORATION BHD,28.86
LIN SEE YAN,GENTING BHD,0.012
LIN SEE YAN,IGB REAL ESTATE INVESTMENT TRUST,
LIN SEE YAN,TOP GLOVE CORPORATION BHD,
LIN YUN LING,GAMUDA BHD,2.97
LING CHIONG HO,SARAWAK OIL PALMS BHD,7.08
LING CHIONG SING,SARAWAK OIL PALMS BHD,
LING LU KUANG,SARAWAK OIL PALMS BHD,
LING SUK KIONG,DAYANG ENTERPRISE HOLDINGS BHD,9.31
LINGOU LONG,TAN CHONG MOTOR HOLDINGS BHD,
LOH CHENG YEAN,ORIENTAL HOLDINGS BHD,0.08
LOH EAN,ORIENTAL HOLDINGS BHD,0.03
LOH HANG PAI,UNITED PLANTATIONS BHD,0.01
LOH KIAN CHONG,ORIENTAL HOLDINGS BHD,0.0002
LOH KOK LEONG,MAH SING GROUP BHD,
LONG SEE WOOL,MALAYSIA AIRPORTS HOLDINGS BHD,
LOW PECK CHEN,CAPITALAND MALAYSIA MALL TRUST ,
LYDIA ANNE ABRAHAM,MEDIA PRIMA BHD,
M R GOPALA KRISHNAN,CARLSBERG BREWERY M BHD,
M RAMACHANAN V D NAIR,IJM PLANTATIONS BHD,
MAGOMET MALSAGOV,PURE CIRCLE ,
MAHAMAD FATHIL MAHMOOD,BUMI ARMADA BHD,0.03
MAHMOOD FAWZY MUHIYIDDIN,MALAYSIA AIRPORTS HOLDINGS BHD,
MAHMOOD FAWZY MUHIYIDDIN,SAPURAKENCANA PETROLEUM BHD,
MAHMOOD FAWZY MUHIYIDDIN,TELEKOM M BHD,
MAHMUD ABU BEKIR TAIB,CAHYA MATA SARAWAK BHD,8.64
MAIZAN SHAARI,BERJAYA LAND BHD,
MANHARLAL RATILAL,KLCCP HOLDINGS BHD,0.0003
MANHARLAL RATILAL,MISC BHD,
MARC SEILER,NESTLE M BHD,
MARIA MAT SAID,BIMB HOLDINGS BHD,
MARK DAVID WHELAN,AMMB HOLDINGS BHD,
MARK YEOH SEOK KAH,YTL CORPORATION BHD,0.04
MARK YEOH SEOK KAH,YTL POWER INTERNATIONAL BHD,0.11
MARTIN BEK NIELSEN,UNITED PLANTATIONS BHD,0.26
MARTIN GILES MANEN,GUINNESS ANCHOR BHD,
MARY GERALDINE PHIPPS,ORIENTAL HOLDINGS BHD,
MARZUKI MOHD NOOR,DRB HICOM BHD,
MAT NOOR NAWI,BINTULUPORT HOLDINGS BHD,
MAT NOOR NAWI,EPF,
MAT NOOR NAWI,KWAP,
MATHAVAN ARJUNAN,AEON COMPANY M BHD,
MAUREEN TOH SIEW GUAT,BUMI ARMADA BHD,
MAZNAH ABDUL JALIL,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
MD ALI MD DEWAL,UEM SUNRISE BHD,
MD NAIM NASIR,IJM LAND BHD,
MD NOR MD YUSOF,CIMB GROUP HOLDINGS BHD,0.005
MD NOR MD YUSOF,MALAYSIAN AIRLINE SYSTEM BHD,
MD NOR MD YUSOF,KHAZANAH,
MD TAP SALLEH,BURSA MALAYSIA,
MD YUSOF HUSSIN,LAFARGE M BHD,
MD YUSOFF JAAFAR,BERJAYA CORPORATION BHD,
MEGAT ABDUL RAHMAN MEGAT AHMAD,BOUSTEAD HOLDINGS BHD,
MEGAT DZIAUDDIN MEGAT MAHMUD,ALLIANCE FINANCIAL GROUP BHD,0.0002
MEGAT ZAHARUDDIN MEGAT MOHD NOR,MAYBANK BANKING BHD,
MEHMET ALI AYDINIAR,IHH HEALTHCARE BHD,1.27
MHD NORDIN MOHD NOR,DUTCH LADY MILK INDUSTRIES BHD,
MICHAEL TING KUOK NGIE,CAHYA MATA SARAWAK BHD,
MICHAEL YEOH SOCK SIONG,YTL CORPORATION BHD,0.19
MICHAEL YEOH SOCK SIONG,YTL POWER INTERNATIONAL BHD,0.11
MICHEL ROSE,LAFARGE M BHD,
MICHIEL EGELER,GUINNESS ANCHOR BHD,
MITSURU NAKATA,AEON COMPANY M BHD,0.002
MOHAIYANI SHAMSUDIN ,MAYBANK BANKING BHD,
MOHAMAD NASIR AB LATIF,UNITED PLANTATIONS BHD,
MOHAMAD NORZA ZAKARIA,BINTULUPORT HOLDINGS BHD,
MOHAMAD SALIM FATEH DIN,BRITISH AMERICAN TOBACCO M BHD,
MOHAMADON ABDULLAH,MALAYSIAN AIRLINE SYSTEM BHD,
MOHAMED DZAIDDIN ABDULLAH,BURSA MALAYSIA,0.02
MOHAMED JAWHAR,MEDIA PRIMA BHD,
MOHAMED KHADAR MERICAN,AIRASIA BHD,
MOHAMED KHADAR MERICAN,ASTRO M HOLDINGS BHD,
MOHAMED KHADAR MERICAN,RHB CAPITAL BHD,
MOHAMED NAZIM ABDUL RAZAK,HONG LEONG BANK BHD,
MOHAMED NAZIM ABDUL RAZAK,HONG LEONG CAPITAL BHD,
MOHAMED RASHDI MOHAMED GHAZALLI,SAPURAKENCANA PETROLEUM BHD,0.002
MOHAMED RAZEEK MH HUSSAIN MARICAR,POS MALAYSIA BHD,
MOHAMED SALEH GOMU,BERJAYA SPORTS TOTO BHD,
MOHAMED ZAKRI ABDUL RASHID,HARTALEGA HOLDINGS BHD,
MOHAMMAD MEDAN ABDULLAH,BINTULUPORT HOLDINGS BHD,
MOHAMMAD ZAINAL SHAARI,TENAGA NASIONAL BHD,
MOHAMMED CHE HUSSEIN,HAP SENG CONSOLIDATED BHD,
MOHAMMED HANIF OMAR,AMMB HOLDINGS BHD,
MOHAMMED HANIF OMAR,GENTING BHD,0.0246
MOHD BAKKE SALLEH,SIME DARBY BHD,
MOHD DIN JUSOH,GENTING PLANTATIONS BHD,
MOHD EMIR MAVANI ABDULLAH,FELDA GLOBAL VENTURES HOLDINGS BHD,
MOHD EMIR MAVANI ABDULLAH,MSM MALAYSIA HOLDINGS BHD,
MOHD FARID MOHD ADNAN,MISC BHD,
MOHD FARID MOHD ADNAN,PETRONAS DAGANGAN BHD,
MOHD GHAZALI CHE MAT ,BOUSTEAD HOLDINGS BHD,
MOHD HASNOL AYUB,EPF,
MOHD IBRAHIMNUDDIN MOHD YUNUS,PETRONAS DAGANGAN BHD,
MOHD IRWAN SERIGAR ABDULLAH,FELDA GLOBAL VENTURES HOLDINGS BHD,
MOHD IRWAN SERIGAR ABDULLAH,MALAYSIAN AIRLINE SYSTEM BHD,
MOHD IRWAN SERIGAR ABDULLAH,PNB,
MOHD IRWAN SERIGAR ABDULLAH,TABUNG HAJI,
MOHD IRWAN SERIGAR ABDULLAH,KWAP,
MOHD ISA ABDUL SAMAD,FELDA GLOBAL VENTURES HOLDINGS BHD,
MOHD ISA ABDUL SAMAD,MSM MALAYSIA HOLDINGS BHD,
MOHD IZANI GHANI,MALAYSIA AIRPORTS HOLDINGS BHD,
MOHD IZZADDIN IDRIS,UEM SUNRISE BHD,
MOHD KHALIL MOHD NOOR,IOI CORPORATION BHD,
MOHD KHAMIL JAMIL,DRB HICOM BHD,10
MOHD KHAMIL JAMIL,POS MALAYSIA BHD,
MOHD NASSER A M AL HUMAIDI,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
MOHD NAZLAN MOHD GHAZALI,MAYBANK BANKING BHD,
MOHD NIZAM ZAINORDIN,UMW HOLDINGS BHD,
MOHD OMAR MUSTAPHA,AIRASIA BHD,
MOHD RAFIK SHAH MOHAMAD,NESTLE M BHD,
MOHD RAMLI KUSHAIRI,GAMUDA BHD,0.002
MOHD SALLEH HARUN,MAYBANK BANKING BHD,
MOHD SHAHAR SIDEK,FRASER AND NEAVE HOLDINGS BHD,
MOHD SHAHAZWAN MOHD HARRIS,MALAYSIAN AIRLINE SYSTEM BHD,
MOHD SIDEK HASSAN,TOP GLOVE CORPORATION BHD,
MOHD SIDIK SHAIK OSMAN,MMC CORPORATION BHD,
MOHD ZAHIDI ZAINUDDIN,BINTULUPORT HOLDINGS BHD,
MOHD ZAHIDI ZAINUDDIN,CAHYA MATA SARAWAK BHD,
MOHD ZAHIDI ZAINUDDIN,GENTING M BHD,0.0002
MOHD ZAHIDI ZAINUDDIN,GENTING PLANTATIONS BHD,
MOHD ZAHIDI ZAINUDDIN ,AFFIN HOLDINGS BHD,
MOHD ZIN IDRIS,BIMB HOLDINGS BHD,
MOHMAD ISA HUSSAIN,POS MALAYSIA BHD,
MOHZANI ABDUL WAHAB,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
MOKHTAR SAMAD,KOSSAN RUBBER INDUSTRIES BHD,
MOKHZANI MAHATHIR,MAXIS BHD,0.01
MOKHZANI MAHATHIR,SAPURAKENCANA PETROLEUM BHD,0.16
MORTEN KARLSEN SORBY,DIGI DOT COM BHD,
MORTEN LUNDAL,MAXIS BHD,
MUHAMAD FUAD ABDULLAH,SIME DARBY BHD,
MUHAMMAD YUNUS,KECK SENG M BHD,
MUSTAFA MOHD ALI,AFFIN HOLDINGS BHD,
MUSTAFA MOHD ALI,BATU KAWAN BHD,
N SADASIVAN N N PILLAY,PETRONAS GAS BHD,
NAGAHISA OYAMA,AEON COMPANY M BHD,0.01
NAOKI HAYASHI,AEON COMPANY M BHD,
NASARUDIN MD IDRIS,BINTULUPORT HOLDINGS BHD,
NASARUDIN MD IDRIS,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
NASARUDIN MD IDRIS,MISC BHD,
NASRUDDIN BAHARI,IJM LAND BHD,
NAVID CHAMDIA,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
NAZIR RAZAK,CIMB GROUP HOLDINGS BHD,0.58
NG CHIH KAYE,CAPITALAND MALAYSIA MALL TRUST ,
NG JUI SIA,FRASER AND NEAVE HOLDINGS BHD,
NG KEE LEEN,GAMUDA BHD,0.63
NG KOK SIONG,CAPITALAND MALAYSIA MALL TRUST ,20
NG MANN CHEONG,TAN CHONG MOTOR HOLDINGS BHD,
NG SING HWA,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
NG SOOI LIN,BERJAYA LAND BHD,0.006
NG SOON LAI,SP SETIA BHD GROUP,
NG YEW KENG,KECK SENG M BHD,
NG YOKE KIAN,IJM CORPORATION BHD,
NG YOKE KIAN,IJM PLANTATIONS BHD,
NGAU BOON KEAT,DIALOG GROUP BHD,1.29
NGEOW VOON YEAN,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
NGIAM PICK NGOH LINDA,GUINNESS ANCHOR BHD,
NIK HASHIM NIK YUSOFF,GENTING BHD,
NIK IBRAHIM KAMIL NIK AHMAD KAMIL,WESTPORTS M SDN BHD,0.03
NIK MOHAMED DIN NIK YUSOFF,RHB CAPITAL BHD,
NIK NOZRUL THANI NIK HASSAN THANI,FRASER AND NEAVE HOLDINGS BHD,
NIK NOZRUL THANI NIK HASSAN THANI,UMW HOLDINGS BHD,
NIK RIZAL KAMIL NIK IBRAHIM KAMIL,TELEKOM M BHD,
NIRMALAH THURAI,NESTLE M BHD,
NOOR EHSANUDDIN MOHD HARUN NARRASHID,MSM MALAYSIA HOLDINGS BHD,
NOOR FARIDA MOHD ARIFFIN,SP SETIA BHD GROUP,
NOORRIZAN SHAFIE,DRB HICOM BHD,
NORAZURA TADZIM,MALAYSIA AIRPORTS HOLDINGS BHD,
NORIZAH BAHARI,TENAGA NASIONAL BHD,
NUR JAZLAN MOHAMED,TSH RESOURCES BHD,
NUR QAMARINA CHEW ABDULLAH,AEON COMPANY M BHD,
NURAINI ISMAIL,PETRONAS DAGANGAN BHD,
OH CHONG PENG,ALLIANCE FINANCIAL GROUP BHD,
OH CHONG PENG,BRITISH AMERICAN TOBACCO M BHD,
OH CHONG PENG,DIALOG GROUP BHD,
OH KIM SUN,UEM SUNRISE BHD,
OH SIEW NAM,PPB GROUP BHD,0.01
OLIVIER MAES,PURE CIRCLE ,
OMAR SALIM,FELDA GLOBAL VENTURES HOLDINGS BHD,
OMER ABDULAZIZ H A AL MARWANI,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
ONG HOCK HENG,AEON COMPANY M BHD,
ONG HUNG HOCK,PPB GROUP BHD,
ONG IE CHEONG,DRB HICOM BHD,
ONG LEONG HUAT,BURSA MALAYSIA,
OOI AH HEONG,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
OOI TEIK HUAT,DRB HICOM BHD,
OOI TEIK HUAT,GAS MALAYSIA BHD,
OOI TEIK HUAT,MMC CORPORATION BHD,
OSMAN AHMAD,KECK SENG M BHD,0.43
OU SHIAN WAEI,ALLIANCE FINANCIAL GROUP BHD,
PATRICK HARTLESS,NESTLE M BHD,
PAUL SELWAY SWIFT,PURE CIRCLE ,
PAULINE TAN SUAT MING,IGB CORPORATION BHD,0.07
PETER LAI HOCK MENG,PURE CIRCLE ,
PETER TAY BUAN HUAT,CAPITALAND MALAYSIA MALL TRUST ,20
PETER YUEN WAI HUNG,AFFIN HOLDINGS BHD,
PHILIP SUTTON COX,UEM SUNRISE BHD,
POH YING LOO,AEON COMPANY M BHD,0.01
POLIT HAMZAH,DAYANG ENTERPRISE HOLDINGS BHD,0.03
PRAGASA MOORTHI KRISHNASAMY,KLCCP HOLDINGS BHD,
PRAMOD KUMAR KARUNAKARAN,PETRONAS GAS BHD,
PURUSHOTHAMAN KUMARAN,IJM PLANTATIONS BHD,0.001
PUSHPANATHAN S A KANAGARAYAR,IJM CORPORATION BHD,
PUSHPANATHAN S A KANAGARAYAR,IJM PLANTATIONS BHD,
PUTEH RUKIAH ABD MAJID,GAS MALAYSIA BHD,
PUTEH RUKIAH ABD MAJID,POS MALAYSIA BHD,
QUAH CHEK TIN,BATU KAWAN BHD,
QUAH CHEK TIN,GENTING M BHD,0.0001
QUAH CHEK TIN,GENTING PLANTATIONS BHD,
QUAH POH KEAT,IOI CORPORATION BHD,
QUAH POH KEAT,LPI CAPITAL BHD,
QUEK KON SEAN,HONG LEONG BANK BHD,
QUEK KON SEAN,HONG LEONG CAPITAL BHD,
QUEK KON SEAN,HONG LEONG FINANCIAL GROUP BHD,
QUEK LENG CHAN,HONG LEONG BANK BHD,64.52
QUEK LENG CHAN,HONG LEONG CAPITAL BHD,
QUEK LENG CHAN,HONG LEONG FINANCIAL GROUP BHD,0.47
QUEK PEI LYNN,IHH HEALTHCARE BHD,
R NADARAJAN,UNITED PLANTATIONS BHD,
R THILLAINATHAN,GENTING BHD,0.0116
R THILLAINATHAN,PETRONAS DAGANGAN BHD,
RADZUAN A RAHMAN,KULIM M BHD,
RAFIAH SALIM,NESTLE M BHD,
RAFIDAH AZIZ,AIR ASIA X BHD,0.42
RAHUL JOHN COLACO,DUTCH LADY MILK INDUSTRIES BHD,
RAINER ALTHOFF,TOP GLOVE CORPORATION BHD,
RAJALINGAM SUBRAMANIAM,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
RAMLAN ABDUL MALEK,SAPURAKENCANA PETROLEUM BHD,
RASHIDAH ALIAS,PETRONAS CHEMICALS GROUP BHD,
RAVINDER KAUR MAHAN SINGH,MALAYSIA BUILDING SOCIETY BHD,
RAYVIN TAN YEONG SHEIK,BERJAYA CORPORATION BHD,0.04
RAZALEE AMIN,UMW OIL AND GAS CORPORATION BHD,
RAZMAN MD HASHIM CHE DIN MD HASHIM,BERJAYA LAND BHD,
RAZMAN MD HASHIM CHE DIN MD HASHIM,SUNWAY BHD,0.06
RICHARD ALEXANDER JOHN CURTIS,CAHYA MATA SARAWAK BHD,
RIFINA MD ARIFF,BIMB HOLDINGS BHD,
RM ALIAS,BATU KAWAN BHD,
RM ALIAS,KUALA LUMPUR KEPONG BHD,
ROBERT AARON MILTON,AIRASIA BHD,0.004
ROBERT CHEIM DAU MANG,CIMB GROUP HOLDINGS BHD,0.002
ROBERT TAN CHUNG MENG,IGB CORPORATION BHD,0.29
ROBERT TAN CHUNG MENG,IGB REAL ESTATE INVESTMENT TRUST,0.21
ROBERT WILLIAM BOYLE,MAXIS BHD,0.001
ROBERT WONG LUM KONG,ORIENTAL HOLDINGS BHD,0.03
ROBERT YONG KUEN LOKE,BERJAYA CORPORATION BHD,0.02
ROBERT YONG KUEN LOKE,BERJAYA LAND BHD,0.01
ROBERT YONG KUEN LOKE,BERJAYA SPORTS TOTO BHD,0.01
ROBIN TAN YEONG CHING,BERJAYA CORPORATION BHD,0.05
ROBIN TAN YEONG CHING,BERJAYA SPORTS TOTO BHD,0.06
ROHAIZAD DARUS,UMW OIL AND GAS CORPORATION BHD,
ROHANA MAHMOOD,AMMB HOLDINGS BHD,
ROHANA ROZHAN,ASTRO M HOLDINGS BHD,
ROHAYA MOHAMMAD YUSOF,UMW HOLDINGS BHD,
ROLAND ARTHUR LAWRENCE,CARLSBERG BREWERY M BHD,
ROSLI  ABDULLAH,CAPITALAND MALAYSIA MALL TRUST ,
ROSLI ABDULLAH ,MALAYSIA AIRPORTS HOLDINGS BHD,
ROSLI BONI,PETRONAS GAS BHD,
ROSNAH OMAR,AFFIN HOLDINGS BHD,
ROSSANA ANNIZAH AHMAD RASHID,IHH HEALTHCARE BHD,
ROSTHMAN IBRAHIM,GAS MALAYSIA BHD,
ROY LIM KIAM CHYE,KUALA LUMPUR KEPONG BHD,
ROZAIDA OMAR,BIMB HOLDINGS BHD,
ROZAN MOHD SAAT,KULIM M BHD,
ROZINA MOHD AMIN,SHANGRI LA HOTELS M BHD,
RUBEN EMIR GNANALINGAM ABDULLAH,WESTPORTS M SDN BHD,
SABARINA LAILA MOHD HASHIM,MALAYSIA AIRPORTS HOLDINGS BHD,
SABRI AHMAD,FELDA GLOBAL VENTURES HOLDINGS BHD,
SADIAH SHEIK BAKIR,KPJ HEALTHCARE BHD,
SAIF MOHD A M AL MADFAA,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
SAIFUL AZNIR SHAHABUDIN,BUMI ARMADA BHD,0.02
SAIFUL BAHRI ZAINUDDIN,BURSA MALAYSIA,
SALIH AMARAN JAMIAAN,BIMB HOLDINGS BHD,
SAMAD AHMAD,MSM MALAYSIA HOLDINGS BHD,
SAMSUDIN  OSMAN,EPF,
SAMSUDIN OSMAN,BIMB HOLDINGS BHD,
SAMSUDIN OSMAN,SIME DARBY BHD,
SARENA CHEAH YEAN TIH,SUNWAY BHD,0.03
SARENA CHEAH YEAN TIH,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
SATOSHI TANAKA,IHH HEALTHCARE BHD,
SAW CHOO BOON,DIGI DOT COM BHD,
SAW CHOO BOON,GUINNESS ANCHOR BHD,
SAW CHOO BOON,RHB CAPITAL BHD,
SAW CHOOI LEE,DUTCH LADY MILK INDUSTRIES BHD,
SAW EWE SENG,LAFARGE M BHD,
SAW KOK WEI,HONG LEONG FINANCIAL GROUP BHD,
SAW WAH THENG,GAMUDA BHD,0.02
SEKARAJASEKARAN ARASARATNAM,TOP GLOVE CORPORATION BHD,1.9
SEOW SWEE PIN,BERJAYA SPORTS TOTO BHD,0.01
SEOW THIAM FATT,TAN CHONG MOTOR HOLDINGS BHD,0.01
SHAHARUL REZZA HASSAN,BUMI ARMADA BHD,
SHAHNIZA ANOM ELIAS,MSM MALAYSIA HOLDINGS BHD,
SHAHRIL RIDZA RIDZUAN,FELDA GLOBAL VENTURES HOLDINGS BHD,
SHAHRIL RIDZA RIDZUAN,MALAYSIA BUILDING SOCIETY BHD,
SHAHRIL RIDZA RIDZUAN,MEDIA PRIMA BHD,
SHAHRIL RIDZA RIDZUAN,EPF,
SHAHRIL SHAMSUDDIN,SAPURAKENCANA PETROLEUM BHD,0.13
SHAHRIMAN SHAMSUDDIN,SAPURAKENCANA PETROLEUM BHD,0.01
SHARIFAH INTAN S M AIDID,ORIENTAL HOLDINGS BHD,0.003
SHARON LIM HWEE LI ,CAPITALAND MALAYSIA MALL TRUST ,20
SHAYNE CARY ELLIOTT,AMMB HOLDINGS BHD,
SHAZALI SHAHRANI,GAS MALAYSIA BHD,
SHEIKH AWAB SHEIKH ABOD,MSM MALAYSIA HOLDINGS BHD,
SHERANJIV SAMMANTHAN,UEM SUNRISE BHD,
SHIGERU MURAKI,GAS MALAYSIA BHD,
SIEW KAH TOONG,TAN CHONG MOTOR HOLDINGS BHD,
SIGIT PRASETYA,MAGNUM BHD,
SIGVE BREKKE,DIGI DOT COM BHD,
SIMON HO CHEE HWEE,CAPITALAND MALAYSIA MALL TRUST ,
SIMON SHIM KONG YIP,HAP SENG CONSOLIDATED BHD,
SIOBHAN MARY HAMILTON,GUINNESS ANCHOR BHD,
SIOW KIM LUN,UMW HOLDINGS BHD,
SIOW KIM LUN,KWAP,
SITI KHAIRON SHARIFF,DIALOG GROUP BHD,
SITI NORMA YAAKOB,TENAGA NASIONAL BHD,
SITI SADIAH BAKIR ,KULIM M BHD,
SNG SEOW WAH,ALLIANCE FINANCIAL GROUP BHD,0.02
SOAM HENG CHOON,IJM CORPORATION BHD,0.002
SOAM HENG CHOON,IJM LAND BHD,
SOH CHIN TECK,PPB GROUP BHD,
SOO KIM WAI,AMMB HOLDINGS BHD,
SOO KOK WONG,GAMUDA BHD,0.003
STEFANO CLINI,BRITISH AMERICAN TOBACCO M BHD,
STEPHEN GEH SIM WHYE,ALLIANCE FINANCIAL GROUP BHD,
STEVE LOW SHU NYOK,UOA DEVELOPMENT BHD,
STEVEN NG POH SENG,MAH SING GROUP BHD,0.035
SU SWEE HONG,BERJAYA LAND BHD,
SUBOH MD YASSIN,TSH RESOURCES BHD,
SUKARTI WAKIMAN,MALAYSIAN AIRLINE SYSTEM BHD,
SUKARTI WAKIMAN,EPF,
SUNNY VERGHESE,PURE CIRCLE ,
SUPPERAMANIAM MANICKAM,SHANGRI LA HOTELS M BHD,
SURIA AB RAHMAN,TENAGA NASIONAL BHD,
SURIN UPATKOON,MAGNUM BHD,
SUSEELAWATI OMAR,UEM SUNRISE BHD,
SUZANA IDAYU WATI OSMAN,MSM MALAYSIA HOLDINGS BHD,
SYED ABDUL JABBAR SYED HASSAN,MMC CORPORATION BHD,
SYED ABDULLAH SYED ABD KADIR,YTL CORPORATION BHD,0.0002
SYED ABDULLAH SYED ABD KADIR,YTL POWER INTERNATIONAL BHD,0.03
SYED ABU BAKAR S MOHSIN ALMOHDZAR,GAS MALAYSIA BHD,
SYED AHMAD HELMY SYED AHMAD,AEON COMPANY M BHD,
SYED ANWAR JAMALULLAIL,CAHYA MATA SARAWAK BHD,
SYED FAISAL ALBAR SYED A R ALBAR,GAS MALAYSIA BHD,
SYED FAISAL ALBAR SYED A R ALBAR,HONG LEONG BANK BHD,
SYED FAISAL ALBAR SYED A R ALBAR,POS MALAYSIA BHD,
SYED HISHAM SYED WAZIR,UMW HOLDINGS BHD,
SYED HISHAM SYED WAZIR,UMW OIL AND GAS CORPORATION BHD,
SYED MOHAMAD SYED MURTAZA,B HICOM BHD,
SYED MOHD FAREED  SHAIKH ALHABSHI,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
SYED MUHAMAD SYED ABDUL KADIR,BURSA MALAYSIA,
SYED MUHAMAD SYED ABDUL KADIR,CIMB GROUP HOLDINGS BHD,
SYED PUTRA JAMALULLAIL,FRASER AND NEAVE HOLDINGS BHD,
SYED SALLEH SYED OTHMAN,GUINNESS ANCHOR BHD,
SYED ZAID SYED JAFFAR ALBAR,MALAYSIA BUILDING SOCIETY BHD,
TAI CHANG ENG,KOSSAN RUBBER INDUSTRIES BHD,
TAJUDDIN ATAN,BURSA MALAYSIA,0.09
TAM CHIEW LIN,PPB GROUP BHD,0.0005
TAN AIK KIONG,TSH RESOURCES BHD,4.1
TAN AIK SIM,TSH RESOURCES BHD,3.95
TAN AIK YONG,TSH RESOURCES BHD,3.99
TAN BOON LEE,IGB CORPORATION BHD,0.25
TAN BOON LEE,IGB REAL ESTATE INVESTMENT TRUST,0.06
TAN BOON SENG,IGB CORPORATION BHD,
TAN BUN POO ROBERT,QL RESOURCES BHD,
TAN GHEE KIAT,HAP SENG CONSOLIDATED BHD,
TAN GUAN CHEONG,HARTALEGA HOLDINGS BHD,
TAN HENG CHEW,TAN CHONG MOTOR HOLDINGS BHD,4.13
TAN HUI JING,ORIENTAL HOLDINGS BHD,
